SALE_ID,BOOK_ID,CLIENT_ID,SALE_DATE,QUANTITY,TOTAL_PRICE
52,186,480,2023-02-23,2,265.00
53,108,837,2023-09-14,4,247.00
54,5,76,2023-09-08,3,98.00
55,59,998,2023-01-30,1,64.00
56,149,373,2024-05-18,1,423.00
57,108,250,2023-01-14,4,406.00
58,98,585,2023-10-15,5,293.00
59,73,889,2023-02-06,5,308.00
60,103,636,2024-06-03,2,489.00
61,157,632,2023-03-22,1,116.00
62,108,350,2024-09-25,4,489.00
63,180,181,2023-05-28,2,314.00
64,76,202,2024-01-03,2,322.00
65,113,436,2023-07-28,2,120.00
66,166,56,2023-05-28,1,450.00
67,30,150,2024-02-14,5,169.00
68,53,556,2024-08-02,5,139.00
69,162,168,2024-02-08,3,349.00
70,189,435,2023-05-13,5,219.00
71,49,49,2024-07-06,5,179.00
72,183,739,2023-04-20,4,459.00
73,171,482,2023-07-17,1,85.00
74,167,871,2023-09-12,2,55.00
75,99,180,2024-09-23,3,115.00
76,81,601,2023-04-11,3,180.00
77,10,489,2024-06-08,5,148.00
78,62,915,2023-11-12,4,164.00
79,153,187,2023-07-21,3,342.00
80,130,623,2023-05-31,5,167.00
81,2,537,2024-09-29,5,173.00
82,41,644,2023-06-06,4,399.00
83,90,100,2023-10-11,4,333.00
84,37,305,2023-08-08,5,348.00
85,87,604,2023-07-06,4,46.00
86,190,75,2023-01-12,5,493.00
87,44,730,2023-07-17,2,54.00
88,62,532,2023-08-27,1,402.00
89,67,730,2023-04-12,4,136.00
90,189,754,2023-05-04,3,282.00
91,141,216,2024-04-06,1,49.00
92,159,296,2023-10-26,5,187.00
93,44,904,2022-12-28,5,151.00
94,119,812,2022-12-01,4,288.00
95,65,460,2023-11-23,1,482.00
96,77,15,2024-08-15,2,262.00
97,92,499,2024-05-20,4,255.00
98,139,348,2024-07-11,3,342.00
99,184,336,2023-07-29,1,395.00
100,130,958,2024-10-12,5,53.00
101,166,306,2024-01-22,4,468.00
102,168,753,2023-11-24,5,103.00
103,136,563,2023-12-26,3,170.00
104,188,316,2024-10-10,5,396.00
105,178,169,2024-05-12,5,381.00
106,82,144,2024-01-24,2,251.00
107,107,515,2023-06-23,4,17.00
108,177,777,2022-12-06,1,180.00
109,72,506,2023-11-26,3,342.00
110,12,832,2023-11-28,5,28.00
111,61,825,2024-07-08,5,234.00
112,137,557,2024-05-02,4,424.00
113,179,835,2023-11-25,1,54.00
114,124,699,2024-03-07,3,398.00
115,33,102,2024-02-06,3,401.00
116,71,188,2022-11-21,2,304.00
117,172,51,2023-07-27,4,234.00
118,154,683,2023-01-18,1,305.00
119,26,85,2023-06-30,4,461.00
120,99,562,2024-02-09,4,108.00
121,31,958,2023-02-24,4,309.00
122,66,639,2024-06-07,4,304.00
123,10,525,2023-03-27,4,125.00
124,180,123,2024-02-15,2,114.00
125,139,487,2023-07-28,5,499.00
126,92,877,2022-12-04,2,437.00
127,161,637,2024-10-19,2,71.00
128,82,752,2024-04-30,2,81.00
129,143,291,2023-05-03,1,128.00
130,144,105,2024-06-10,1,191.00
131,14,906,2022-11-21,4,198.00
132,82,496,2024-06-29,5,205.00
133,66,781,2023-12-02,4,232.00
134,174,91,2024-09-08,2,495.00
135,16,472,2024-10-06,3,406.00
136,20,629,2023-07-15,3,305.00
137,196,298,2024-02-08,2,455.00
138,56,191,2024-01-26,4,485.00
139,179,716,2024-07-04,2,86.00
140,106,46,2023-03-22,3,430.00
141,18,155,2024-01-23,2,49.00
142,163,581,2024-03-29,5,93.00
143,48,488,2023-04-25,1,269.00
144,53,317,2023-09-15,5,453.00
145,64,361,2022-11-22,4,24.00
146,100,691,2022-11-13,2,283.00
147,122,36,2023-01-24,1,148.00
148,88,821,2022-12-08,4,59.00
149,71,739,2023-06-20,3,363.00
150,50,307,2023-10-08,5,106.00
151,71,564,2023-11-14,5,348.00
152,68,536,2023-02-22,4,337.00
153,54,841,2024-01-02,2,138.00
154,155,410,2022-12-03,3,381.00
155,185,402,2024-06-25,1,286.00
156,61,856,2024-05-04,2,313.00
157,137,85,2024-09-06,4,326.00
158,56,824,2023-12-05,5,343.00
159,94,699,2023-10-18,4,43.00
160,140,76,2024-10-20,1,473.00
161,120,844,2023-07-09,4,303.00
162,198,218,2023-12-06,1,145.00
163,184,524,2023-06-15,2,391.00
164,154,396,2024-08-17,5,299.00
165,41,783,2024-08-24,2,30.00
166,94,764,2024-04-09,4,267.00
167,22,353,2023-02-26,3,453.00
168,26,111,2024-06-30,2,483.00
169,25,49,2024-08-24,2,87.00
170,124,455,2023-01-13,1,129.00
171,137,770,2024-08-27,3,287.00
172,140,671,2024-05-14,3,44.00
173,18,780,2024-09-22,3,397.00
174,112,344,2023-04-25,2,375.00
175,97,731,2024-06-26,3,330.00
176,154,157,2024-05-03,4,348.00
177,71,918,2024-09-23,3,383.00
178,155,296,2024-05-10,1,221.00
179,104,323,2024-09-18,1,404.00
180,176,141,2023-01-11,1,322.00
181,57,656,2024-06-25,4,318.00
182,85,334,2023-09-01,1,334.00
183,88,598,2022-11-12,4,173.00
184,101,251,2023-03-12,1,123.00
185,170,173,2024-04-05,5,106.00
186,184,322,2024-03-09,1,458.00
187,102,24,2022-12-18,1,315.00
188,127,467,2024-07-15,1,295.00
189,78,284,2024-04-19,2,412.00
190,198,123,2024-05-29,2,38.00
191,157,327,2024-02-18,3,213.00
192,153,944,2024-03-22,1,319.00
193,142,388,2023-05-05,4,412.00
194,18,414,2022-11-12,3,65.00
195,128,78,2023-10-05,1,429.00
196,118,288,2023-07-31,3,484.00
197,107,602,2024-01-07,1,313.00
198,147,981,2024-05-15,2,194.00
199,164,223,2024-02-14,1,253.00
200,93,347,2024-05-17,2,397.00
201,2,629,2023-02-07,1,181.00
202,21,347,2022-12-24,4,472.00
203,5,204,2022-11-27,1,433.00
204,198,312,2024-01-09,5,314.00
205,111,905,2023-02-09,2,450.00
206,145,20,2024-05-23,1,117.00
207,94,822,2023-10-23,4,369.00
208,149,676,2024-02-17,1,446.00
209,107,241,2023-10-01,4,449.00
210,186,616,2023-11-26,5,444.00
211,200,406,2023-11-30,4,82.00
212,15,80,2023-08-23,5,333.00
213,30,814,2023-06-05,5,205.00
214,115,940,2023-03-15,1,405.00
215,34,616,2023-08-22,3,69.00
216,136,448,2024-07-24,5,183.00
217,38,264,2024-05-26,2,441.00
218,153,496,2023-07-22,4,266.00
219,151,837,2024-04-01,4,73.00
220,157,592,2023-12-09,5,188.00
221,116,472,2024-01-30,4,340.00
222,86,142,2024-02-17,1,194.00
223,41,262,2023-04-05,5,332.00
224,199,679,2024-04-29,5,202.00
225,16,274,2023-08-03,2,75.00
226,156,157,2023-05-16,5,330.00
227,135,216,2023-01-26,3,51.00
228,42,333,2023-04-22,4,236.00
229,68,912,2024-09-26,5,237.00
230,18,902,2022-12-15,4,98.00
231,156,55,2023-11-08,4,423.00
232,111,158,2024-09-12,5,71.00
233,186,333,2023-12-10,4,401.00
234,33,949,2023-07-11,2,85.00
235,110,628,2024-03-17,5,431.00
236,78,610,2023-07-12,1,488.00
237,59,876,2023-07-20,2,393.00
238,91,907,2024-08-25,5,235.00
239,28,652,2024-09-05,2,374.00
240,52,619,2024-02-11,3,450.00
241,142,968,2023-11-05,4,269.00
242,112,980,2023-09-13,5,193.00
243,195,392,2024-01-10,2,290.00
244,183,805,2023-10-24,2,405.00
245,174,308,2024-07-30,1,107.00
246,173,347,2023-05-21,2,111.00
247,159,287,2022-11-17,5,24.00
248,11,778,2022-11-22,1,49.00
249,145,662,2024-06-12,5,44.00
250,56,703,2023-07-18,2,55.00
251,194,358,2023-11-16,1,347.00
252,81,576,2023-10-01,2,454.00
253,107,860,2023-12-27,2,200.00
254,181,245,2023-12-10,2,458.00
255,38,914,2023-03-17,4,113.00
256,155,442,2023-01-15,3,352.00
257,59,451,2023-02-20,3,92.00
258,93,349,2024-01-09,4,100.00
259,95,787,2024-02-20,5,404.00
260,182,491,2023-02-20,4,355.00
261,178,615,2024-07-24,3,201.00
262,14,801,2024-10-22,5,477.00
263,125,413,2023-10-04,2,323.00
264,97,587,2023-07-24,2,377.00
265,69,899,2023-07-01,4,469.00
266,198,590,2023-09-19,4,434.00
267,84,318,2024-01-08,3,411.00
268,27,777,2023-10-19,1,232.00
269,46,960,2024-09-28,1,251.00
270,101,763,2024-04-01,1,431.00
271,77,113,2023-05-11,5,485.00
272,71,646,2024-08-13,1,305.00
273,169,247,2022-11-29,4,319.00
274,130,641,2023-05-19,3,315.00
275,59,428,2024-06-09,5,105.00
276,97,811,2024-04-16,2,257.00
277,198,271,2023-05-31,4,496.00
278,77,905,2023-05-30,4,238.00
279,200,157,2024-04-13,4,396.00
280,22,595,2024-05-20,2,376.00
281,165,478,2024-06-16,4,345.00
282,105,446,2024-10-08,2,489.00
283,16,89,2024-01-11,2,349.00
284,49,760,2023-10-27,3,370.00
285,31,64,2023-01-21,1,35.00
286,18,251,2023-08-28,4,252.00
287,200,408,2024-06-15,1,464.00
288,156,544,2024-10-20,4,147.00
289,49,168,2024-02-19,5,233.00
290,189,883,2024-02-06,5,483.00
291,200,656,2024-04-11,2,336.00
292,86,408,2023-11-08,5,21.00
293,157,488,2022-11-09,5,134.00
294,87,922,2023-10-02,4,49.00
295,63,904,2023-11-10,2,269.00
296,99,602,2023-05-25,4,408.00
297,27,5,2023-12-22,5,346.00
298,5,41,2023-01-17,1,333.00
299,74,792,2023-02-10,1,436.00
300,36,742,2024-03-19,1,189.00
301,12,162,2023-08-20,2,355.00
302,124,173,2023-11-02,1,249.00
303,150,223,2024-06-17,2,468.00
304,104,1000,2023-03-10,3,29.00
305,172,909,2024-10-15,4,127.00
306,158,946,2024-06-21,2,484.00
307,161,429,2024-06-02,3,431.00
308,118,35,2023-10-17,3,120.00
309,67,448,2024-02-24,5,229.00
310,71,713,2023-04-12,1,37.00
311,97,95,2024-08-15,5,119.00
312,17,106,2024-04-12,3,329.00
313,176,287,2022-12-05,5,139.00
314,177,41,2024-05-31,4,183.00
315,37,68,2024-09-16,2,164.00
316,31,342,2023-08-28,1,447.00
317,64,364,2022-12-28,1,263.00
318,115,558,2024-05-04,2,487.00
319,77,668,2024-09-24,1,61.00
320,135,42,2024-04-20,1,161.00
321,119,661,2023-12-02,3,368.00
322,72,499,2023-09-07,2,357.00
323,174,269,2024-09-23,2,234.00
324,38,291,2024-03-03,1,270.00
325,175,296,2024-02-05,1,180.00
326,132,172,2024-07-24,1,485.00
327,126,471,2024-10-08,5,347.00
328,70,488,2024-07-28,5,67.00
329,158,374,2023-06-18,5,162.00
330,124,546,2023-08-23,4,353.00
331,191,519,2022-12-25,3,202.00
332,42,506,2024-06-10,3,73.00
333,197,855,2023-08-28,4,175.00
334,4,50,2022-12-04,3,194.00
335,2,950,2023-08-11,4,394.00
336,97,956,2023-07-23,2,444.00
337,35,573,2023-01-18,2,168.00
338,62,570,2024-05-09,2,48.00
339,184,668,2023-01-24,4,322.00
340,35,861,2024-03-01,4,265.00
341,144,717,2024-03-26,3,379.00
342,86,178,2023-06-14,4,439.00
343,115,132,2023-05-23,4,405.00
344,10,616,2022-12-25,4,312.00
345,180,704,2023-12-31,3,133.00
346,5,661,2023-12-19,5,390.00
347,81,648,2024-06-27,2,237.00
348,19,205,2024-08-16,2,89.00
349,100,83,2024-05-11,2,216.00
350,80,248,2024-02-06,2,150.00
351,191,247,2023-11-01,2,194.00
352,175,181,2023-10-14,4,235.00
353,110,777,2023-03-19,2,182.00
354,195,875,2024-05-06,2,483.00
355,60,401,2024-02-15,1,277.00
356,123,347,2023-05-27,2,206.00
357,65,213,2023-04-07,5,38.00
358,38,183,2024-08-04,1,103.00
359,11,881,2024-04-09,5,90.00
360,81,504,2023-12-14,2,364.00
361,116,896,2022-12-19,4,219.00
362,132,306,2023-08-01,1,425.00
363,111,421,2024-03-10,5,356.00
364,106,221,2024-08-15,5,22.00
365,76,859,2022-11-18,1,67.00
366,157,235,2023-06-01,2,197.00
367,12,772,2024-08-08,3,204.00
368,98,176,2024-04-28,4,384.00
369,41,311,2024-09-22,2,126.00
370,102,888,2024-04-07,2,61.00
371,162,960,2023-01-16,3,200.00
372,122,887,2022-11-13,1,271.00
373,102,119,2023-02-21,3,478.00
374,148,505,2023-02-26,2,90.00
375,28,479,2024-06-15,1,439.00
376,185,912,2023-05-30,2,308.00
377,6,754,2023-05-21,2,434.00
378,111,654,2024-02-08,2,381.00
379,75,44,2023-03-31,2,449.00
380,135,254,2023-05-26,5,140.00
381,56,627,2023-08-29,3,362.00
382,184,910,2023-09-20,3,486.00
383,185,78,2024-04-28,2,16.00
384,130,460,2022-12-13,2,131.00
385,38,997,2023-11-16,5,74.00
386,167,156,2024-10-27,4,113.00
387,166,642,2024-09-20,3,264.00
388,151,817,2024-04-26,3,51.00
389,57,785,2023-09-07,2,228.00
390,60,920,2023-04-10,1,159.00
391,62,227,2023-05-12,3,33.00
392,140,911,2024-09-04,2,477.00
393,83,705,2023-08-26,4,218.00
394,61,398,2023-05-29,1,206.00
395,99,491,2024-10-21,2,55.00
396,194,943,2023-10-04,5,131.00
397,200,139,2022-12-18,3,451.00
398,156,116,2023-06-19,2,262.00
399,77,832,2024-02-20,1,253.00
400,30,168,2022-12-12,1,85.00
401,34,790,2023-07-28,2,350.00
402,115,133,2023-08-25,5,47.00
403,98,475,2023-05-20,4,269.00
404,172,524,2024-01-14,3,186.00
405,83,839,2024-06-23,5,490.00
406,190,302,2024-04-10,5,93.00
407,175,984,2024-10-14,4,119.00
408,17,495,2023-08-13,4,221.00
409,102,905,2024-07-23,3,324.00
410,200,344,2022-12-16,3,87.00
411,175,463,2023-01-31,2,194.00
412,40,336,2024-07-19,4,158.00
413,147,761,2023-04-11,5,265.00
414,78,81,2024-02-29,1,145.00
415,195,991,2023-05-19,4,268.00
416,191,571,2023-05-03,5,295.00
417,115,326,2023-04-30,4,370.00
418,166,96,2023-05-16,1,35.00
419,32,588,2024-09-06,2,72.00
420,69,698,2024-04-22,4,46.00
421,135,716,2023-07-18,1,54.00
422,113,202,2023-12-15,1,387.00
423,200,519,2024-10-07,5,355.00
424,115,710,2024-04-27,2,398.00
425,99,241,2023-07-06,2,228.00
426,193,713,2023-03-12,2,204.00
427,76,682,2023-04-13,4,443.00
428,68,878,2023-12-12,2,209.00
429,113,833,2023-04-06,3,77.00
430,96,167,2023-05-26,4,155.00
431,7,732,2024-06-19,4,115.00
432,151,229,2024-10-05,4,211.00
433,176,121,2024-01-15,3,87.00
434,60,558,2023-12-11,4,408.00
435,193,597,2022-11-24,2,191.00
436,178,890,2023-05-15,1,44.00
437,71,87,2022-11-18,3,16.00
438,114,820,2022-12-27,3,250.00
439,94,733,2023-10-23,1,314.00
440,9,773,2024-07-14,1,54.00
441,13,806,2024-03-16,3,31.00
442,158,648,2024-06-02,1,246.00
443,76,403,2023-04-06,2,322.00
444,198,473,2024-04-10,4,281.00
445,135,977,2024-01-12,5,227.00
446,28,189,2024-04-08,1,494.00
447,5,840,2023-08-04,2,434.00
448,180,710,2022-12-21,2,29.00
449,49,950,2023-10-08,1,465.00
450,181,321,2023-04-07,4,210.00
451,113,151,2023-07-29,2,296.00
452,155,63,2024-04-13,3,377.00
453,187,276,2023-01-31,5,389.00
454,154,430,2023-09-04,4,287.00
455,133,400,2023-06-14,3,401.00
456,196,769,2024-01-13,1,187.00
457,142,117,2024-09-21,5,435.00
458,125,124,2023-10-04,2,294.00
459,5,516,2023-03-22,4,235.00
460,143,302,2023-10-24,2,347.00
461,123,554,2023-10-06,3,185.00
462,64,947,2024-10-25,1,413.00
463,162,260,2024-02-10,2,52.00
464,69,31,2022-11-09,5,369.00
465,85,273,2024-04-05,4,396.00
466,139,937,2024-06-08,2,400.00
467,64,544,2024-06-23,1,417.00
468,182,129,2023-06-09,1,20.00
469,154,503,2024-09-17,1,192.00
470,6,197,2023-06-17,3,177.00
471,166,38,2024-10-25,2,253.00
472,82,920,2023-12-05,1,88.00
473,95,321,2024-02-28,1,293.00
474,183,780,2024-07-03,5,161.00
475,113,606,2023-07-16,5,377.00
476,126,381,2024-09-10,2,110.00
477,16,476,2023-10-05,5,82.00
478,68,874,2023-10-10,1,36.00
479,99,558,2023-07-02,3,491.00
480,131,336,2023-06-03,1,487.00
481,112,856,2023-02-24,5,492.00
482,61,466,2023-12-02,2,214.00
483,70,621,2023-09-05,3,439.00
484,84,335,2022-12-16,4,74.00
485,154,652,2023-12-20,1,21.00
486,159,883,2023-05-04,5,444.00
487,164,843,2023-01-28,2,316.00
488,83,31,2024-02-27,2,458.00
489,27,394,2023-05-14,4,294.00
490,40,154,2023-04-09,4,426.00
491,197,875,2023-01-19,3,190.00
492,124,689,2024-08-07,4,302.00
493,173,565,2024-01-25,4,121.00
494,162,134,2023-05-09,3,411.00
495,124,895,2024-02-22,3,48.00
496,145,986,2023-06-11,1,407.00
497,185,5,2023-03-20,1,348.00
498,147,165,2023-12-20,2,133.00
499,192,81,2023-06-03,5,415.00
500,178,952,2023-06-19,4,70.00
501,150,83,2024-04-19,5,111.00
502,63,131,2023-03-26,3,141.00
503,131,51,2024-05-28,5,28.00
504,194,345,2024-06-03,1,277.00
505,181,443,2023-06-18,2,271.00
506,135,162,2024-05-23,4,468.00
507,127,40,2024-10-15,3,337.00
508,91,498,2024-01-17,3,278.00
509,37,317,2024-04-02,4,77.00
510,106,168,2023-09-27,1,170.00
511,58,103,2024-05-28,2,394.00
512,178,310,2024-03-11,3,29.00
513,149,353,2024-03-14,4,312.00
514,102,483,2024-07-27,2,464.00
515,88,171,2023-01-02,4,339.00
516,103,857,2023-11-02,4,395.00
517,140,880,2023-12-31,3,354.00
518,126,439,2024-03-07,5,335.00
519,122,855,2022-12-20,1,273.00
520,24,934,2022-12-27,4,129.00
521,172,96,2024-03-30,2,103.00
522,140,634,2023-06-14,5,475.00
523,60,164,2023-10-05,5,74.00
524,130,772,2023-03-02,2,25.00
525,63,338,2024-07-24,3,166.00
526,99,975,2024-10-15,1,458.00
527,105,360,2024-08-10,3,266.00
528,104,643,2024-07-06,1,457.00
529,199,866,2023-11-21,4,309.00
530,9,678,2024-10-16,5,363.00
531,124,70,2023-01-30,4,279.00
532,70,311,2023-03-12,1,258.00
533,197,184,2023-09-21,3,25.00
534,102,654,2024-04-02,1,482.00
535,102,439,2024-09-12,4,254.00
536,98,183,2023-07-16,3,29.00
537,13,442,2022-12-11,5,47.00
538,200,332,2023-09-01,4,113.00
539,77,279,2023-11-23,1,94.00
540,79,706,2023-07-07,3,119.00
541,148,95,2024-07-20,1,313.00
542,40,879,2023-07-14,3,270.00
543,135,376,2023-09-26,3,477.00
544,123,327,2023-03-21,2,294.00
545,121,359,2022-11-27,4,247.00
546,136,861,2024-03-09,1,51.00
547,34,499,2022-12-17,2,68.00
548,29,80,2023-04-14,2,173.00
549,56,386,2023-12-18,4,408.00
550,98,423,2024-03-31,1,96.00
551,87,311,2023-02-10,2,48.00
552,117,60,2024-09-29,1,492.00
553,96,864,2022-12-08,3,52.00
554,78,607,2024-07-14,4,143.00
555,16,890,2024-08-14,3,23.00
556,95,739,2023-03-21,3,290.00
557,118,668,2022-11-17,3,95.00
558,136,424,2023-06-23,3,209.00
559,193,438,2023-10-09,4,15.00
560,154,928,2023-08-10,5,353.00
561,141,448,2023-06-22,3,31.00
562,172,118,2023-01-09,5,474.00
563,26,978,2023-12-20,5,63.00
564,67,207,2023-05-20,5,479.00
565,199,304,2023-06-08,4,316.00
566,133,401,2023-08-07,4,361.00
567,53,642,2024-09-04,5,433.00
568,3,63,2023-09-10,4,19.00
569,196,467,2022-11-27,1,229.00
570,76,131,2023-04-28,1,258.00
571,146,588,2024-07-16,3,119.00
572,93,543,2024-10-28,3,270.00
573,86,672,2024-05-07,4,249.00
574,191,788,2024-05-17,2,164.00
575,111,578,2024-06-17,2,378.00
576,188,154,2024-10-28,2,63.00
577,133,477,2023-10-06,3,329.00
578,27,150,2023-08-22,1,404.00
579,91,569,2023-03-07,1,69.00
580,65,719,2024-03-18,3,69.00
581,155,366,2023-08-09,3,63.00
582,41,456,2024-02-03,3,109.00
583,83,189,2023-12-25,4,310.00
584,160,790,2023-03-23,5,289.00
585,178,436,2024-03-24,1,401.00
586,182,583,2023-09-15,5,158.00
587,68,653,2023-11-08,3,364.00
588,64,619,2024-04-18,2,19.00
589,131,279,2023-10-01,4,290.00
590,83,104,2023-11-05,4,356.00
591,44,58,2024-01-13,1,397.00
592,158,452,2023-01-17,4,322.00
593,107,655,2023-04-28,1,373.00
594,69,677,2023-07-05,3,222.00
595,62,300,2024-09-18,5,322.00
596,183,596,2024-03-26,1,177.00
597,127,752,2023-10-09,4,223.00
598,161,965,2023-07-28,4,141.00
599,60,33,2023-12-13,4,151.00
600,182,176,2023-03-16,5,16.00
601,54,462,2024-08-30,5,76.00
602,47,202,2023-05-11,1,457.00
603,148,731,2024-06-20,3,59.00
604,62,55,2024-07-09,3,467.00
605,144,58,2024-09-29,3,143.00
606,125,606,2024-07-02,2,173.00
607,191,441,2024-06-22,2,288.00
608,134,210,2022-11-04,5,479.00
609,47,880,2023-04-08,2,94.00
610,138,666,2024-07-08,5,372.00
611,29,221,2023-05-11,5,106.00
612,15,120,2023-07-23,2,149.00
613,166,402,2024-01-02,3,336.00
614,132,907,2022-11-17,5,264.00
615,4,588,2023-03-04,4,113.00
616,174,18,2024-10-19,5,176.00
617,191,666,2023-01-30,5,352.00
618,115,816,2023-02-25,5,339.00
619,92,104,2022-12-04,2,248.00
620,38,623,2022-12-27,1,369.00
621,155,725,2024-02-06,2,243.00
622,93,193,2023-07-30,3,233.00
623,25,113,2024-07-20,3,82.00
624,136,112,2023-10-21,2,492.00
625,200,833,2023-05-23,3,400.00
626,131,630,2023-08-15,5,165.00
627,34,978,2023-02-06,3,126.00
628,115,212,2024-04-26,4,314.00
629,108,330,2023-07-29,3,479.00
630,102,714,2023-07-12,1,227.00
631,40,860,2023-02-09,1,485.00
632,30,271,2024-02-21,4,290.00
633,152,821,2024-02-20,2,43.00
634,36,994,2024-01-14,4,288.00
635,145,218,2024-10-21,5,429.00
636,70,803,2024-07-03,5,100.00
637,46,654,2024-06-09,3,390.00
638,16,977,2023-04-24,5,217.00
639,110,567,2024-08-23,5,219.00
640,27,889,2024-01-07,4,215.00
641,35,653,2022-12-20,4,487.00
642,190,739,2023-04-20,4,463.00
643,109,232,2022-11-26,3,193.00
644,9,569,2023-03-10,3,141.00
645,153,385,2023-11-23,1,324.00
646,8,52,2023-06-13,1,398.00
647,20,322,2022-10-30,4,236.00
648,156,910,2024-08-01,1,86.00
649,23,422,2022-11-14,4,313.00
650,57,211,2023-12-14,2,425.00
651,106,326,2023-04-20,5,288.00
652,134,630,2024-06-03,4,118.00
653,156,350,2024-07-22,1,278.00
654,49,744,2022-12-07,5,123.00
655,31,727,2023-01-16,3,312.00
656,84,945,2024-05-01,4,468.00
657,187,449,2024-07-22,2,81.00
658,58,947,2023-01-22,1,478.00
659,200,578,2024-09-01,2,95.00
660,186,695,2022-11-28,1,467.00
661,22,514,2024-03-10,5,428.00
662,51,541,2023-10-27,4,273.00
663,8,165,2024-06-15,4,202.00
664,50,877,2022-12-14,4,93.00
665,20,31,2023-01-22,1,201.00
666,198,299,2024-02-09,5,39.00
667,14,771,2023-09-02,4,339.00
668,172,961,2024-05-21,3,135.00
669,122,630,2023-04-18,1,299.00
670,111,206,2024-05-12,4,295.00
671,18,746,2023-03-01,3,59.00
672,191,310,2022-11-30,2,318.00
673,1,849,2023-11-30,4,134.00
674,127,482,2022-12-05,4,463.00
675,149,974,2024-06-16,5,172.00
676,46,840,2023-11-04,2,171.00
677,88,190,2023-10-14,4,112.00
678,176,267,2023-03-17,5,396.00
679,71,46,2022-10-31,2,171.00
680,52,212,2024-10-20,1,485.00
681,180,959,2024-01-20,1,463.00
682,122,17,2024-07-09,2,133.00
683,100,684,2024-03-26,5,242.00
684,116,74,2023-09-05,1,361.00
685,24,60,2022-12-19,3,320.00
686,170,611,2024-01-08,4,192.00
687,7,64,2024-07-08,2,176.00
688,1,138,2024-05-08,1,396.00
689,14,557,2022-12-27,4,267.00
690,20,525,2022-11-03,4,183.00
691,30,31,2024-07-01,5,165.00
692,186,455,2023-02-23,4,400.00
693,191,354,2024-07-18,2,429.00
694,48,647,2024-07-19,2,467.00
695,18,878,2024-06-30,5,164.00
696,95,93,2022-12-08,5,258.00
697,170,696,2024-02-01,4,74.00
698,81,262,2024-01-03,2,375.00
699,151,291,2023-11-18,1,115.00
700,49,430,2023-05-14,3,492.00
701,126,553,2024-04-16,4,355.00
702,4,706,2022-12-26,4,344.00
703,31,394,2023-10-19,3,57.00
704,21,824,2023-08-23,5,348.00
705,75,990,2024-07-15,4,31.00
706,16,202,2024-07-07,4,133.00
707,143,166,2024-01-05,5,179.00
708,28,58,2023-04-07,4,140.00
709,197,339,2024-01-13,2,276.00
710,115,722,2023-05-20,4,166.00
711,90,796,2023-03-04,2,229.00
712,199,191,2023-12-16,1,434.00
713,188,822,2023-08-16,2,340.00
714,147,486,2023-10-11,4,437.00
715,176,174,2023-07-15,2,296.00
716,173,685,2024-06-04,5,47.00
717,84,487,2023-12-12,1,191.00
718,176,743,2023-09-14,3,15.00
719,135,666,2024-06-30,2,218.00
720,188,163,2022-12-27,3,404.00
721,140,524,2023-04-03,5,368.00
722,108,409,2023-12-12,4,338.00
723,68,259,2024-03-05,1,329.00
724,116,533,2023-04-07,4,369.00
725,95,963,2024-03-14,5,236.00
726,197,501,2024-07-11,3,73.00
727,139,109,2023-07-13,2,135.00
728,68,625,2023-10-19,4,447.00
729,53,654,2023-05-10,4,278.00
730,67,839,2023-01-16,4,135.00
731,169,842,2024-02-01,4,222.00
